,budget,company,country,director,gross,name,rate,star,voter
73,,"Indion Entertainment Group,Toy Gun Films,See more »,",USA,Sydney Freeland,,Drunktown's Finest (2014) ,6.9,"Jeremiah Bitsui,Carmen Moore,MorningStar Angeline,|,See full cast & crew,",187
74,,"SimonSays Entertainment,A Small Production Company,The Princess Grace Foundation,See more »,",USA,Rashaad Ernesto Green,"$148,994,",Gun Hill Road (2011) ,6.6,"Esai Morales,Robert Salzman,Ty Jones,|,See full cast & crew,","1,045"
75,,"Compass Productions,See more »,",Canada,Eisha Marjara,,Venus (2017) ,5.7,"Debargo Sanyal,Jamie Mayers,Pierre-Yves Cardinal,|,See full cast & crew,",119
76,"$500,000","Bjornquist Films,Unionmovie,See more »,",USA,Whitney Hamilton,,Union (2018) ,7.2,"John Charles Dickson,Virginia Newcomb,Jay Galloway,|,See full cast & crew,",8
77,,"Story AB,Hard Working Movies,Film i Väst,See more »,","Sweden,USA",Sara Jordenö,,Kiki (2016) ,5.4,"Loretta Coombs,Takima Coombs,Afrika Juicy Couture,|,See full cast & crew,",418
78,,"Garagefilm International,Fasad Postproduktion,Film i Väst,See more »,",Sweden,Ester Martin Bergsmark,,Nånting måste gå sönder (2014) ,6.3,"Saga Becker,Iggy Malmborg,Shima Niavarani,|,See full cast & crew,","1,290"
79,"€85,750","Optimale,Vivàsvan,See more »,",France,Antony Hickling,,One Deep Breath (2014) ,5.8,"Manuel Blanc,Thomas Laroppe,Stéphanie Michelini,|,See full cast & crew,",36
80,,"Joel Films,Unity Films Inc.,See more »,","Venezuela,Uruguay,Peru",Elia K. Schneider,,Tamara (2016) ,7.2,"Luis Fernandez,Prakriti Maduro,Mimi Lazo,|,See full cast & crew,",113
81,,"Bless Bless Productions,See more »,",USA,,"$40,999,",The Brandon Teena Story (1998) ,7.3,"Daphne,Reanna,Gina,|,See full cast & crew,",892
82,,"Q-Ball Productions,See more »,",USA,Kate Davis,,Southern Comfort (2001) ,6.6,"Robert Eads,Lola Cola,Maxwell Scott Anderson,|,See full cast & crew,",835
83,,"Rustbelt Productions,See more »,",USA,Roger Hill,,Huckleberry (2018) ,0,"Daniel Fisher-Golden,Jahking Guillory,Sarah Ulstrup,|,See full cast & crew,",0
84,,"Unleashed Films,See more »,",USA,,"$44,532,",The Dog (2013) ,6.5,"John Wojtowicz,Carmen Bifulco,Jeremy Bowker,|,See full cast & crew,",794
85,,"Allen Edelman Management,Black Hawk Entertainment,See more »,",USA,Chi Muoi Lo,"$1,315,573,",Catfish in Black Bean Sauce (1999) ,6.6,"Chi Muoi Lo,Sanaa Lathan,Paul Winfield,|,See full cast & crew,",428
86,,"Three Degrees Off Center Productions,See more »,",USA,James A. Ward,,Identity Theft (2009) ,3.9,"Laura Weintraub,James A. Ward,Michael Cole,|,See full cast & crew,",109
87,,"DRM Entertainment,DRM Media,See more »,",South Korea,Yun-ho Yang,,Ga-myeon (2007) ,6.4,"Kang-woo Kim,Gyu-ri Kim,Su-kyeong Lee,|,See full cast & crew,",601
88,"CAD 40,000","Shapeshifter Films,See more »,",Canada,Gwen Haworth,,She's a Boy I Knew (2007) ,7.8,"Colleen Haworth,Gwen Haworth,Kim Haworth,|,See full cast & crew,",118
89,"€766,000","Ad hoc studios,Babilonia Films S.L.,Meridional Producciones,See more »,",Spain,Marina Seresesky,,La puerta abierta (2016) ,7.0,"Carmen Machi,Terele Pávez,Asier Etxeandia,|,See full cast & crew,",516
90,,"Boje Buck Produktion,Westdeutscher Rundfunk (WDR),Witch,See more »,",Germany,Kutlug Ataman,,Lola + Bilidikid (1999) ,6.3,"Gandi Mukli,Baki Davrak,Erdal Yildiz,|,See full cast & crew,","1,175"
91,,"MTV Europe,MTV Films Europe,Vertigo Films,See more »,",UK,Jim Hickey,,Dirty Sanchez: The Movie (2006) ,6.2,"Matthew Pritchard,Lee Dainton,Mike Locke,|,See full cast & crew,","4,066"
92,,"MNP Entreprise,No Money Productions,Arte France Cinéma,See more »,",France,,,Louise-Michel (2008) ,6.6,"Yolande Moreau,Bouli Lanners,Benoît Poelvoorde,|,See full cast & crew,","2,230"
93,"$790,000","Mosaic Films,Charlotte Street Films,Green River Pictures,See more »,",USA,,,Denial (2016) ,7.5,"Mike Ahmadi,Christine David Hallquist,Derek Hallquist,|,See full cast & crew,",22
94,"€810,000","Edith Film Oy,Future Film,SVT,See more »,","Finland,Sweden",Simo Halinen,,Kerron sinulle kaiken (2013) ,6.8,"Leea Klemola,Peter Franzén,Ria Kataja,|,See full cast & crew,",614
95,,"Caracol Televisión,Dago García Producciones,DíaFragma, Fábrica de Películas,See more »,",Colombia,Rubén Mendoza,,"Señorita María, la falda de la montaña (2017) ",7.6,"María Luisa Fuentes Burgos,María Luisa Bonilla,",170
96,,"RoseWorks,Sex Smart Films,See more »,",USA,Chris Arnold,,Trans (2012) ,5.7,"Masen Davis,Christine McGinn,",92
97,,"Outcast Films,Still Point Pictures,See more »,",USA,Eric Juhola,,Growing Up Coy (2016) ,5.4,"Auri Mathis,Coy Mathis,Dakota Mathis,|,See full cast & crew,",263
98,"$150,000","Extra / Ordinary Film Project,See more »,",USA,,,Little Bi Peep (2013) ,7.5,"Anna Shields,Sara Jecko,Leigh Strimbeck,|,See full cast & crew,",34
99,"$880,000","Chinarunn Entertainment Inc.,TigerTiger Productions,See more »,",Singapore,Glen Goei,"$19,319,",Forever Fever (1998) ,7.0,"Adrian Pang,Medaline Tan,Pierre Png,|,See full cast & crew,",548
100,"€240,000","Rosa Filmes,Ad Vitam Production,See more »,","Portugal,France",João Pedro Rodrigues,"$3,939,",Morrer Como Um Homem (2009) ,5.9,"Chandra Malatitch,John Jesus Romão,Ivo Barroso,|,See full cast & crew,",881
101,,"Cinemax,World of Wonder Productions,World of Wonder,See more »,",USA,,,101 Rent Boys (2000) ,6.3,"David Anthony,Gary Barry,Scott Black,|,See full cast & crew,",323
102,,"Yes Docu,See more »,",Israel,Ofir Trainin,,Mishpakha BiTrans (2018) ,5.3,"Amit Tsuk,Galit Tsuk,",6
103,"$100,000","Mattioli Productions,See more »,",USA,A.J. Mattioli,,The Coffee Shop (2014) ,3.8,"Blanche Baker,Elissa Goldstein,Keith Collins,|,See full cast & crew,",68
104,,"Five Stars Production Company,See more »,",Thailand,Kongkiat Khomsiri,,Cheun (2009) ,6.9,"Arak Amornsupasiri,Sonthaya Chitmanee,Jessica Pasaphan,|,See full cast & crew,",604
105,,"Leave It on the Floor,Sheldon Larry Productions Inc.,See more »,","Canada,USA",Sheldon Larry,,Leave It on the Floor (2011) ,6.2,"Ephraim Sykes,Andre Myers,Phillip Evelyn,|,See full cast & crew,",367
106,,"Tai Entertainment,See more »,",Thailand,Yongyoot Thongkongtoon,"$110,825,",Satree lek (2000) ,6.8,"Jesdaporn Pholdee,Sahaphap Tor,Ekachai Buranapanit,|,See full cast & crew,","1,236"
107,"$30,000","Cine Calibre Films,See more »,",USA,Christopher Baiza,,Myra (2018) ,0,"Tom Sizemore,Scott Krinsky,Cesar Garcia,|,See full cast & crew,",0
108,"$1,500,000","Unison Films,De Warrenne Pictures,See more »,","USA,Thailand",Seth Grossman,"$21,298,",The Elephant King (2006) ,6.3,"Ellen Burstyn,Tate Ellington,Florence Faivre,|,See full cast & crew,",464
109,,,South Korea,Jin Jang,,Hai-hil (2014) ,6.6,"Seung-won Cha,Jeong-se Oh,Esom,|,See full cast & crew,",994
110,,,USA,Stu Maddux,,Gen Silent (2011) ,8.2,,52
111,"$248,321","Say Yes Quickly Productions,Just Media,See more »,",USA,Lydia Nibley,,Two Spirits (2009) ,7.6,,78
112,,"VideoFilmes,Dominant 7,Lumière,See more »,","Brazil,France",Karim Aïnouz,"$198,181,",Madame Satã (2002) ,7.1,"Lázaro Ramos,Marcelia Cartaxo,Flavio Bauraqui,|,See full cast & crew,","2,317"
113,,"Solito Arts,See more »,",Philippines,Auraeus Solito,,Boy (2009) ,5.8,"Aeious Asin,Aries Pena,Belinda,|,See full cast & crew,",167
114,,"Film Guru,See more »,",Thailand,Poj Arnon,,Toot too ku chart (2018) ,0,"Rattapoom Tokongsup,Petchtai Wongkamlao,",0
115,,"Channel Four Films,Halal Films,Logo,See more »,","UK,France,Germany,Australia,USA",Parvez Sharma,"$105,033,",A Jihad for Love (2007) ,6.5,"Muhsin Hendricks,A.K. Hoosen,Mazen,|,See full cast & crew,",614
116,,"Telespan 2000,Estudios Picasso,Canal+ España,See more »,",Spain,Chus Gutiérrez,,El Calentito (2005) ,5.9,"Verónica Sánchez,Macarena Gómez,Juan Sanz,|,See full cast & crew,",496
117,"$40,000","Chill Productions,See more »,",USA,,,Girls Like Us! Part 1 (2012) ,5.8,"Bethany Stanton,Robin Lei,Milon V. Parker,|,See full cast & crew,",10
118,,"Instituto Nacional de Cine y Artes Audiovisuales (INCAA),See more »,",Argentina,Javier van de Couter,,Mía (2011) ,6.9,"Rodrigo De la Serna,Maite Lanata,Camila Sosa Villada,",152
119,"$300,000","Grandelusion,See more »,",USA,,"$220,077,",The Cockettes (2002) ,7.3,"Larry Brinkin,Peggy Cass,Pristine Condition,|,See full cast & crew,",490
120,"€100,000","Matador Film,See more »,","Germany,Austria",Marcel Walz,,La Petite Mort II (2014) ,3.5,"Annika Strauss,Yvonne Wölke,Mika Metz,|,See full cast & crew,",94
121,,,Israel,Yair Hochner,,Yeladim Tovim (2005) ,5.1,"Daniel Efrat,Dana Balalti,Michael Hamel,|,See full cast & crew,",323
122,,"The Reporters,See more »,",USA,Mark Saxenmeyer,,The Queens (2018) ,0,"Sunny Dee-Light,Maya Douglas,Jim Flint,|,See full cast & crew,",0
123,"$20,000","Transflix Productions,E.B.G. Productions,PL Entertainment,See more »,",,,,L.G.B.T. Love Stories (2016) ,4.4,"Frederic Farina,Christina Russo,Danny Martinez,|,See full cast & crew,",7
124,,,Vietnam,,,Finding Phong (2015) ,7.9,,38
125,"£75,000","Flyswot Films,See more »,","UK,USA,France",Simon Savory,,Bruno & Earlene Go to Vegas (2013) ,5.1,"Miles Szanto,Ashleigh Sumner,Barrett Crake,|,See full cast & crew,",117
126,,"Viva Films,MVP Pictures,See more »,","Philippines,Indonesia",Wenn V. Deramas,,Moron 5 and the Crying Lady (2012) ,5.4,"Luis Manzano,Billy Crawford,Marvin Agustin,|,See full cast & crew,",59
127,,"Patthikonda Cinemass,See more »,",India,Bhanushanker Chowdary,,Arddhanaari (2016) ,7.8,"Harikrishna,Jyoti,Mirchi Madhavi,|,See full cast & crew,",19
128,,"Westdeutscher Rundfunk (WDR),Wüste Film West GmbH,See more »,",Germany,Nana Neul,,Mein Freund aus Faro (2008) ,6.5,"Anjorka Strechel,Lucie Hollmann,Manuel Cortez,|,See full cast & crew,",401
129,,"Narrative Films,See more »,",USA,Jake Yuzna,,Open (2010) ,5.4,"Tempest Crane,Jendeen Forberg,Gaea Gaddy,|,See full cast & crew,",97
130,,"Perfect Day Films,See more »,",USA,Timothy Greenfield-Sanders,,The Out List (2013) ,7.2,"Dustin Lance Black,R. Clarke Cooper,Wade Davis,|,See full cast & crew,",589
131,,"Film Tonic,Realtime Films Inc.,Original Pictures,See more »,",Canada,Brad Fraser,,Leaving Metropolis (2002) ,6.2,"Troy Ruptash,Vince Corazza,Lynda Boyd,|,See full cast & crew,",574
132,,,"Sweden,Kenya,Thailand,Uganda",Jonny von Wallström,,The Pearl of Africa (2016) ,6.8,,103
133,,"Olive Productions,RadicalMedia,See more »,",USA,,,Check It (2016) ,7.0,,102
134,,"Filmprodukties de Luwte,See more »,",Netherlands,Paula van der Oest,"$28,397,",Zus & zo (2001) ,6.4,"Sylvia Poorta,Anneke Blok,Monic Hendrickx,|,See full cast & crew,","1,508"
