,budget,company,country,director,gross,name,rate,star,voter
0,"€4,000,000","Frenesy Film Company,La Cinéfacture,RT Features,See more »,","Italy,France,Brazil,USA",Luca Guadagnino,"$18,095,701,",Call Me by Your Name (2017) ,8.0,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,|,See full cast & crew,","131,656"
86,,"Lions Gate Films,Qwerty Films,Tribeca Productions,See more »,","UK,USA,Germany",Richard Eyre,"$776,691,",Stage Beauty (2004) ,7.2,"Billy Crudup,Claire Danes,Rupert Everett,|,See full cast & crew,","9,418"
87,"€5,000,000","El Deseo,See more »,",Spain,Pedro Almodóvar,"$1,367,846,",Los amantes pasajeros (2013) ,5.6,"Javier Cámara,Pepa Charro,Cecilia Roth,|,See full cast & crew,","19,746"
88,"$250,000","Plotdigger Films,See more »,",Canada,Ryan Nicholson,,Gutterballs (2008) ,4.7,"Alastair Gamble,Mihola Terzic,Nathan Witte,|,See full cast & crew,","2,849"
89,"$15,000,000","Tribeca Productions,See more »,",USA,Joel Schumacher,"$4,485,485,",Flawless (1999) ,6.4,"Robert De Niro,Philip Seymour Hoffman,Barry Miller,|,See full cast & crew,","16,184"
90,"€5,000,000","Helsinki Filmi Oy,Anagram,Fridthjof Film,See more »,","Finland,Sweden,Denmark,Germany,Iceland,USA",Dome Karukoski,"$378,296,",Tom of Finland (2017) ,6.8,"Pekka Strang,Seumas F. Sargent,Chris Myland,|,See full cast & crew,","3,549"
91,,"Greentrees Films,Sun-Lite Pictures (II),Trimark Pictures,See more »,",USA,Mike Binder,,The Sex Monster (1999) ,5.3,"Mariel Hemingway,Mike Binder,Renée Humphrey,|,See full cast & crew,","2,375"
92,,"Race Point Films,Public Square Films,See more »,",USA,Deb Shoval,,AWOL (2016) ,5.3,"Lola Kirke,Kyle Monaghan,Dale Soules,|,See full cast & crew,",726
93,,"Mandate Pictures,Kingsgate Films,Destination Films,See more »,",USA,Sebastian Gutierrez,"$106,398,",Rise (2007) ,4.9,"Lucy Liu,Michael Chiklis,Carla Gugino,|,See full cast & crew,","10,870"
94,"$5,500,000","British Broadcasting Corporation (BBC),Fox Iris Productions,Intermedia Films,See more »,","UK,USA",Richard Eyre,"$1,292,119,",Iris (2001) ,7.1,"Judi Dench,Jim Broadbent,Kate Winslet,|,See full cast & crew,","15,959"
95,"$2,000,000","Ambi Pictures,Hammerton Productions,Stonelock Pictures,See more »,","USA,Italy",Barry Levinson,,The Humbling (2014) ,5.6,"Al Pacino,Greta Gerwig,Nina Arianda,|,See full cast & crew,","5,708"
96,"$20,000,000","Metro-Goldwyn-Mayer (MGM),Potboiler Productions,Winkler Films,See more »,","UK,USA",Irwin Winkler,"$13,337,299,",De-Lovely (2004) ,6.6,"Kevin Kline,Ashley Judd,Jonathan Pryce,|,See full cast & crew,","10,294"
97,"$50,000","Ariztical Entertainment,See more »,",USA,Q. Allan Brocka,"$155,212,",Eating Out (2004) ,5.8,"Scott Lunsford,Jim Verraros,Emily Brooke Hands,|,See full cast & crew,","5,569"
98,,"Project i Productions,Latina Pictures,See more »,",Italy,Alessandro Capone,,Body of Deceit (2015) ,4.3,"Kristanna Loken,Antonio Cupo,Sarai Givaty,|,See full cast & crew,",199
99,,"Milk and Honey - The Movie,Warrior Film Promotions,See more »,",UK,Matt Gambell,,Milk and Honey: The Movie (2018) ,0,"Mark Wingett,Claire King,Rachel Bright,|,See full cast & crew,",0
100,,"G. Rich Entertainment,See more »,",USA,Kevin DiNovis,,Surrender Dorothy (1998) ,6.0,"Peter Pryor,Kevin DiNovis,Jason Centeno,|,See full cast & crew,",306
101,"$700,000","Alter Ego Entertainment,Belladonna Productions,See more »,",USA,Michael Cuesta,"$1,141,829,",L.I.E. (2001) ,7.2,"Brian Cox,Paul Dano,Bruce Altman,|,See full cast & crew,","9,095"
