,budget,company,country,director,gross,name,rate,star,voter
1280,,"Les Films Pelléas,Centre National de la Cinématographie (CNC),Région Provence Côte d'Azur,See more »,",France,Alain Guiraudie,,Voici venu le temps (2005) ,5.0,"Eric Bougnon,Guillaume Viry,Pierre Louis-Calixte,|,See full cast & crew,",115
1281,,"SRO Pictures,See more »,",USA,Richard Day,"$45,463,",Straight-Jacket (2004) ,6.6,"Matt Letscher,Carrie Preston,Adam Greer,|,See full cast & crew,",750
1282,,"OUTtv Productions,See more »,",Canada,Mark Kenneth Woods,,This Is Drag (2015) ,4.8,"Roy Haylock,Danny Noriega,Shane Jenek,|,See full cast & crew,",75
1283,,"Various Films,See more »,",UK,Gary Wicks,,Endgame (2001) ,5.4,"Daniel Newman,Corey Johnson,Toni Barry,|,See full cast & crew,",429
1284,,"Discodog Productions,See more »,",UK,Will Gould,"$11,057,",The Wolves of Kromer (1998) ,6.1,"Boy George,James Layton,Lee Williams,|,See full cast & crew,",683
1285,"$20,000","Transflix Productions,E.B.G. Productions,PL Entertainment,See more »,",,,,L.G.B.T. Love Stories (2016) ,4.4,"Frederic Farina,Christina Russo,Danny Martinez,|,See full cast & crew,",7
1286,"$3,000,000","7.23 Productions,Flashpoint (I),White Rose,See more »,",USA,Jack Perez,"$32,142,",La Cucaracha (1998) ,6.3,"Eric Roberts,Joaquim de Almeida,Victor Rivers,|,See full cast & crew,",319
1287,,,USA,Ryan Lonergan,,Kill the Monsters (2018) ,8.0,"Jack Ball,Laura Brocca,Julia Campanelli,|,See full cast & crew,",14
1288,"€5,269,000","Galatée Films,Delante Films,Cirrus Communications,See more »,",France,Stéphane Kazandjian,,Modern Love (2008) ,5.3,"Alexandra Lamy,Stéphane Rousseau,Bérénice Bejo,|,See full cast & crew,",261
1289,"$675,000",,USA,Travis Ammons,,Suicide Notes (2013) ,8.3,"Lou Martini Jr.,Sue Rock,Jared Doreck,|,See full cast & crew,",22
