,name,year,genre
115,Made of Honor,(2008)," Comedy, Romance            "
116,Holding the Man,(2015)," Biography, Drama, Romance            "
117,Doubt,(I) (2008)," Drama, Mystery            "
118,Anomalisa,(2015)," Animation, Comedy, Drama            "
119,Imagine Me & You,(2005)," Comedy, Drama, Romance            "
120,Mario,(I) (2018)," Drama, Romance, Sport            "
121,Fired Up!,(2009), Comedy            
122,Elephant,(2003)," Crime, Drama, Thriller            "
123,The Best Exotic Marigold Hotel,(2011)," Comedy, Drama, Romance            "
124,The Sweetest Thing,(2002)," Comedy, Romance            "
125,Jeepers Creepers II,(2003), Horror            
126,Fanboys,(2009)," Adventure, Comedy, Drama            "
127,Starred Up,(2013)," Crime, Drama            "
128,Best in Show,(2000), Comedy            
129,King Cobra,(2016)," Comedy, Crime, Drama            "
130,Behind the Candelabra,(2013)," Biography, Drama, Romance            "
131,En man som heter Ove,(2015)," Comedy, Drama, Romance            "
132,I Now Pronounce You Chuck & Larry,(2007)," Comedy, Romance            "
133,54,(1998)," Drama, Music            "
134,After the Dark,(2013)," Drama, Fantasy, Sci-Fi            "
135,Prom Night,(I) (2008)," Horror, Mystery            "
136,Kill Your Darlings,(2013)," Biography, Drama, Romance            "
137,Demain tout commence,(2016)," Comedy, Drama            "
138,Just Married,(2003)," Comedy, Romance            "
139,Shattered Glass,(2003)," Drama, History            "
140,Hit and Run,(2012)," Action, Comedy, Romance            "
141,Mysterious Skin,(2004)," Drama, Mystery, Thriller            "
142,Without a Paddle,(2004)," Adventure, Comedy, Mystery            "
143,The Invention of Lying,(2009)," Comedy, Fantasy, Romance            "
144,Detroit Rock City,(1999)," Comedy, Music            "
145,But I'm a Cheerleader,(1999)," Comedy, Drama, Romance            "
146,Philomena,(2013)," Biography, Drama            "
147,Hummingbird,(I) (2013)," Action, Crime, Drama            "
148,Mi mejor amigo,(2018)," Drama, Romance            "
149,Notes on a Scandal,(2006)," Crime, Drama, Romance            "
150,Gigli,(2003)," Comedy, Crime, Romance            "
151,"South Park: Bigger, Longer & Uncut",(1999)," Animation, Comedy, Fantasy            "
152,Friends with Money,(2006)," Comedy, Drama, Romance            "
153,Stay,(I) (2005)," Drama, Mystery, Thriller            "
154,Beginners,(2010)," Comedy, Drama, Romance            "
155,Swing Vote,(2008)," Comedy, Drama            "
156,Elena Undone,(2010)," Drama, Romance            "
157,"Angus, Thongs and Perfect Snogging",(2008)," Comedy, Drama, Romance            "
158,Cop Out,(2010)," Action, Comedy, Crime            "
159,"Paris, je t'aime",(2006)," Comedy, Drama, Romance            "
160,Freeheld,(2015)," Biography, Drama, Romance            "
161,Walk of Fame,(I) (2017), Comedy            
162,Perfect Stranger,(2007)," Crime, Drama, Horror            "
163,Center Stage,(2000)," Drama, Music, Romance            "
164,An Unfinished Life,(2005)," Drama, Family, Romance            "
165,Starsky & Hutch,(2004)," Comedy, Crime            "
166,Half Nelson,(2006), Drama            
167,The Pass,(2016)," Drama, Romance            "
168,Soul Plane,(2004), Comedy            
169,I Am Michael,(2015)," Biography, Drama, Romance            "
170,Party Monster,(2003)," Biography, Crime, Drama            "
171,Persepolis,(2007)," Animation, Biography, Drama            "
172,Whatever Works,(2009)," Comedy, Romance            "
173,Wristcutters: A Love Story,(2006)," Comedy, Drama, Fantasy            "
174,Kinsey,(2004)," Biography, Drama, Romance            "
175,120 battements par minute,(2017), Drama            
176,Hurricane Bianca: From Russia with Hate,(2018), Comedy            
