,name,year,genre,rate,voter,director,star,country,company,budget,gross
35,The Rules of Attraction,(2002)," Comedy, Drama, Romance            ",6.7,"47,012",Roger Avary,"James Van Der Beek,Ian Somerhalder,Shannyn Sossamon,|,See full cast & crew,","Germany,USA","Kingsgate Films,Roger Avary Filmproduktion GmbH,See more »,","$4,000,000","$6,532,619,"
36,On the Road,(2012)," Adventure, Drama, Romance            ",6.1,"37,217",Walter Salles,"Sam Riley,Garrett Hedlund,Kristen Stewart,|,See full cast & crew,","France,USA,UK,Brazil,Canada,Argentina","MK2 Productions,American Zoetrope,Jerry Leider Company,See more »,","$25,000,000","$717,753,"
37,Go,(1999)," Comedy, Crime            ",7.3,"63,138",Doug Liman,"Sarah Polley,Jay Mohr,Scott Wolf,|,See full cast & crew,",USA,"Columbia Pictures Corporation,Banner Entertainment,Saratoga Entertainment,See more »,","$20,000,000","$16,842,303,"
38,Imagine Me & You,(2005)," Comedy, Drama, Romance            ",6.8,"26,683",Ol Parker,"Piper Perabo,Lena Headey,Matthew Goode,|,See full cast & crew,","UK,Germany","BBC Films,Cougar Films Ltd.,Ealing Studios,See more »,","$7,900,000","$671,240,"
39,Sexy Beast,(2000)," Crime, Drama, Thriller            ",7.3,"48,916",Jonathan Glazer,"Ray Winstone,Ben Kingsley,Ian McShane,|,See full cast & crew,","UK,Spain","Recorded Picture Company (RPC),FilmFour,Chronopolis Films,See more »,",,"$6,946,056,"
40,Todo sobre mi madre,(1999), Drama            ,7.9,"78,767",Pedro Almodóvar,"Cecilia Roth,Marisa Paredes,Candela Peña,|,See full cast & crew,","Spain,France","El Deseo,Renn Productions,France 2 Cinéma,See more »,",,"$8,264,530,"
41,Velvet Goldmine,(1998)," Drama, Music            ",7.0,"31,006",Todd Haynes,"Ewan McGregor,Jonathan Rhys Meyers,Christian Bale,|,See full cast & crew,","UK,USA","Channel Four Films,Goldwyn Films,Killer Films,See more »,",,"$1,053,788,"
42,Murder Party,(2007)," Comedy, Drama, Horror            ",6.1,"6,251",Jeremy Saulnier,"Chris Sharp,Kate Porterfield,Tess Porterfield Lovell,|,See full cast & crew,",USA,"The Lab of Madness,See more »,",,
43,But I'm a Cheerleader,(1999)," Comedy, Drama, Romance            ",6.6,"22,619",Jamie Babbit,"Natasha Lyonne,Clea DuVall,Michelle Williams,|,See full cast & crew,",USA,"Cheerleader LLC,Hate Kills Man (HKM),Ignite Entertainment,See more »,","$1,200,000","$2,205,627"
44,Gigli,(2003)," Comedy, Crime, Romance            ",2.4,"43,966",Martin Brest,"Ben Affleck,Jennifer Lopez,Justin Bartha,|,See full cast & crew,",USA,"Revolution Studios,City Light Films,Casey Silver Productions,See more »,","$54,000,000","$6,068,735,"
45,Hatchet,(2006)," Comedy, Horror            ",5.7,"26,074",Adam Green,"Kane Hodder,Joel David Moore,Deon Richmond,|,See full cast & crew,",USA,"ArieScope Pictures,High Seas Entertainment,Radioaktive Film,See more »,","$1,500,000","$155,873,"
46,Fucking Åmål,(1998)," Comedy, Drama, Romance            ",7.6,"46,397",Lukas Moodysson,"Alexandra Dahlström,Rebecka Liljeberg,Erica Carlson,|,See full cast & crew,","Sweden,Denmark","Memfis Film,Det Danske Filminstitut,Film i Väst,See more »,","SEK 9,000,000","$168,761,"
47,The Canyons,(2013)," Drama, Thriller            ",3.8,"9,627",Paul Schrader,"Lindsay Lohan,James Deen,Nolan Gerard Funk,|,See full cast & crew,",USA,"Prettybird,Post Empire Films,Sodium Fox,See more »,","$250,000","$49,494,"
48,The Informers,(2008)," Crime, Drama, Thriller            ",5.0,"15,167",Gregor Jordan,"Billy Bob Thornton,Kim Basinger,Mickey Rourke,|,See full cast & crew,","Germany,USA","Senator Entertainment Co,See more »,","$18,000,000","$300,000,"
49,Koroshiya 1,(2001)," Action, Comedy, Crime            ",7.1,"47,501",Takashi Miike,"Tadanobu Asano,Nao Ohmori,Shin'ya Tsukamoto,|,See full cast & crew,","Japan,Hong Kong","Omega Project,Omega Micott Inc.,Emperor Multimedia Group (EMG),See more »,","$1,400,000","$20,285,"
50,I Am Michael,(2015)," Biography, Drama, Romance            ",5.7,"3,830",Justin Kelly,"James Franco,Zachary Quinto,Emma Roberts,|,See full cast & crew,",USA,"Patriot Pictures,RabbitBandini Productions,Thats Hollywood,See more »,",,
51,Party Monster,(2003)," Biography, Crime, Drama            ",6.3,"13,839",,"Macaulay Culkin,Wilson Cruz,Seth Green,|,See full cast & crew,","USA,Netherlands","World of Wonder,Killer Films,ContentFilm,See more »,","$5,000,000","$728,253,"
52,Auto Focus,(2002)," Biography, Crime, Drama            ",6.6,"12,251",Paul Schrader,"Greg Kinnear,Willem Dafoe,Maria Bello,|,See full cast & crew,",USA,"Focus Puller Inc.,Good Machine,Propaganda Films,See more »,","$7,000,000","$2,062,066,"
53,Kinsey,(2004)," Biography, Drama, Romance            ",7.1,"45,343",Bill Condon,"Liam Neeson,Laura Linney,Chris O'Donnell,|,See full cast & crew,","USA,Germany","Fox Searchlight Pictures,Qwerty Films,N1 European Film Produktions GmbH & Co. KG,See more »,","$11,000,000","$10,214,647,"
