,budget,company,country,director,gross,name,rate,star,voter
699,"FRF 65,000,000","Gemini Films,France 2 Cinéma,Les Films du Lendemain,See more »,","France,Italy,Portugal",Raoul Ruiz,"$461,493,","Le temps retrouvé, d'après l'oeuvre de Marcel Proust (1999) ",6.8,"Catherine Deneuve,Emmanuelle Béart,Vincent Perez,|,See full cast & crew,","2,041"
700,,"Faction Film,House of Real,See more »,","Denmark,Norway",,,Venus (2016) ,7.0,,259
701,,"Centerstage Productions,G-Entertainment,See more »,",Philippines,Brillante Mendoza,,Kaleldo (2006) ,6.5,"Johnny Delgado,Cherry Pie Picache,Angel Aquino,|,See full cast & crew,",64
702,,"Witch,Yalan Dünya,See more »,",Turkey,Kutlug Ataman,,Iki Genç Kiz (2005) ,5.7,"Hülya Avsar,Vildan Atasever,Feride Çetin,|,See full cast & crew,","1,422"
703,,"Movies Masti Magic studios,Shantketan Films,See more »,",India,Sanjay Sharma,,Dunno Y Na Jaane Kyun... (2010) ,3.9,"Zeenat Aman,Kabir Bedi,Hazel Croney,|,See full cast & crew,",131
704,,"Columbia Pictures Film Production Asia,Film Workshop,See more »,","Hong Kong,China",Hark Tsui,"$93,817,",Shun liu ni liu (2000) ,6.9,"Nicholas Tse,Wu Bai,Candy Lo,|,See full cast & crew,","3,940"
705,,"To Each Her Own Films,See more »,",Canada,Heather Tobin,,To Each Her Own (2008) ,6.2,"Kelly Ames,Don Burns,Dre Carrwgton,|,See full cast & crew,",72
706,"€600,000","AllezAllez,NFI-Productions,Nederlands Film Instituut,See more »,",Netherlands,Eddy Terstall,,Sextet (2007) ,5.7,"Steve Aernouts,Marlies Bark,Gene Bervoets,|,See full cast & crew,",541
707,"AUD 1,000,000","Bolderpictures,See more »,",Australia,Yu-Hsiu Camille Chen,,Little Sparrows (2010) ,5.5,"Nicola Bartlett,James Hagan,Nina Deasley,|,See full cast & crew,",172
708,,"Kan Zamia-a,Kanzaman,Polaris Pictures,See more »,",USA,Nick Hamm,"$15,546,",Talk of Angels (1998) ,6.1,"Polly Walker,Vincent Perez,Franco Nero,|,See full cast & crew,",746
709,"€1,800,000","7e Heart Productions,Union Prod,See more »,",France,Natalie Saracco,,La mante religieuse (2012) ,5.6,"Mylène Jampanoï,Marc Ruchmann,Mathilde Bisson,|,See full cast & crew,",134
710,"$1,700,000","Agarrate del Barandal,See more »,",Mexico,Teresa Suarez,,Así del precipicio (2006) ,5.0,"Ana de la Reguera,Ingrid Martz,Gabriela Platas,|,See full cast & crew,",697
711,,"24RGB,Springfield Films,See more »,",USA,,,Lesbian Cops (2011) ,2.3,"Kayla L. Chaikin,William Thomas Jones,Ray Klein,|,See full cast & crew,",116
712,,"Historias Cinematograficas Cinemania,Ibermedia,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),See more »,","Argentina,France,Spain",Lucía Puenzo,,El niño pez (2009) ,5.9,"Inés Efron,Mariela Vitale,Pep Munné,|,See full cast & crew,","1,899"
713,"DKK 13,206,000","Bech Film,Peter Bech Productions,Det Danske Filminstitut,See more »,",Denmark,Jesper W. Nielsen,,Okay (2002) ,6.6,"Paprika Steen,Troels Lyby,Ole Ernst,|,See full cast & crew,","1,415"
714,,"Discovery Films UK,Peccadillo Pictures,See more »,",UK,,,The Adored (2012) ,4.0,"Laura Martin-Simpson,Ione Butler,Jake Maskall,|,See full cast & crew,",115
715,,"5150 Productions,Newmark Films Inc.,Seven Arts Pictures,See more »,",USA,Isaac H. Eaton,"$37,221,",Shadow Hours (2000) ,5.9,"Balthazar Getty,Peter Weller,Rebecca Gayheart,|,See full cast & crew,",785
716,,"Kadokawa Daiei Studios,Kadokawa,Pony Canyon,See more »,",Japan,Koichi Sakamoto,,Aka x Pinku (2014) ,5.7,"Yuria Haga,Sanae Hitomi,Rina Koike,|,See full cast & crew,",241
717,,"ABS-CBN Film Productions,Viva Films,See more »,",Philippines,Wenn V. Deramas,,Praybeyt Benjamin (2011) ,5.0,"Vice Ganda,Eddie Garcia,Derek Ramsay,|,See full cast & crew,",204
718,,"ACH,Christopher Filmcapital,Regent Productions,See more »,",USA,David DeCoteau,,Wolves of Wall Street (2002) ,2.6,"Jeff Branson,Louise Lasser,William Gregory Lee,|,See full cast & crew,",565
719,"$1,000,000","Rapid Heart Pictures,See more »,",USA,David DeCoteau,,Sorority Slaughterhouse (2016) ,3.2,"Eric Roberts,Jessica Morris,Jean Louise O'Sullivan,|,See full cast & crew,",139
720,"CAD 40,000","Shapeshifter Films,See more »,",Canada,Gwen Haworth,,She's a Boy I Knew (2007) ,7.8,"Colleen Haworth,Gwen Haworth,Kim Haworth,|,See full cast & crew,",118
721,,,Israel,Yair Hochner,"$21,445,",Antarctica (2008) ,6.0,"Ofer Regirer,Guy Zoaretz,Yuval Raz,|,See full cast & crew,",692
722,,"One-Tu-Three Productions Inc.,See more »,",USA,Darin Ferriola,,Soulkeeper (2001) ,5.2,"William Bassett,Howard Berger,Jaime Bergman,|,See full cast & crew,","1,079"
723,,,USA,Jenny Gage,,All This Panic (2016) ,6.7,"Dusty Rose Ryan,Delia Cunningham,Lena M.,|,See full cast & crew,",295
724,,"Blenkov & Schønnemann Pictures,See more »,",Denmark,Hella Joof,,Sover Dolly på ryggen? (2012) ,5.9,"Lene Maria Christensen,Nikolaj Lie Kaas,Mia Lyhne,|,See full cast & crew,","1,156"
725,,"La Famiglia,North by Northwest Entertainment,See more »,",USA,Cameron Thor,,The Giving Tree (2000) ,4.1,"Christina Applegate,Justin Lazard,Johnathon Schaech,|,See full cast & crew,",468
726,"CAD 2,000,000","Mongrel Media,Sienna Films,Idlewild Films,See more »,",Canada,Wiebke von Carolsfeld,,Marion Bridge (2002) ,6.9,"Molly Parker,Rebecca Jenkins,Stacy Smith,|,See full cast & crew,","1,209"
727,"$1,000,000","Upload Films,Slamdance,Elements Entertainment,See more »,",USA,Nancy Kissam,"$1,199,",Drool (2009) ,5.7,"Laura Harring,Jill Marie Jones,Oded Fehr,|,See full cast & crew,",719
728,,"Block 2 Pictures,J.A. Media,Jet Tone Production,See more »,","Hong Kong,Taiwan",Hsiao-tse Cheng,,Miao Miao (2008) ,5.2,"Chia-Yen Ko,Sandrine Pinna,Wing Fan,|,See full cast & crew,",956
729,,"Sweetwater AB,Svensk Filmindustri (SF),TV4 Sweden,See more »,",Sweden,Colin Nutley,,Sprängaren (2001) ,4.9,"Helena Bergström,Pernilla August,Reine Brynolfsson,|,See full cast & crew,","1,771"
730,,"CJ Entertainment,Masulpiri Films,See more »,",South Korea,Jae-eun Jeong,"$3,137,",Go-yang-i-leul boo-tak-hae (2001) ,7.3,"Doona Bae,Yo-won Lee,Ji-young Ok,|,See full cast & crew,","2,106"
731,,"Nordisk Film,TV2 Danmark,Det Danske Filminstitut,See more »,",Denmark,Christina Rosendahl,,Supervoksen (2006) ,5.6,"Emma Leth,Cathrine Bjørn,Amalie Lindegård,|,See full cast & crew,",832
732,,"Canal+,Centre National de la Cinématographie (CNC),CinéCinéma,See more »,",France,Vincent Garenq,,Comme les autres (2008) ,6.5,"Lambert Wilson,Pilar López de Ayala,Pascal Elbé,|,See full cast & crew,","1,204"
733,"£650,000","Bard Entertainments,Sterling Pictures Ltd.,Widestream Films,See more »,",UK,,,Vampire Diary (2006) ,4.5,"Anna Walton,Morven Macbeth,Jamie Thomas King,|,See full cast & crew,",696
734,,,Japan,Masafumi Yamada,,Côpusu pâtî (2015) ,4.9,"Ryôsuke Ikeoka,Rina Ikoma,Jun,|,See full cast & crew,",300
735,,"View Askew Productions,See more »,",USA,Malcolm Ingram,,Small Town Gay Bar (2006) ,7.1,"Jim Bishop,Terry Capps,Jackie Cox,|,See full cast & crew,","1,061"
736,,"Zalman King Entertainment Inc.,Playboy Entertainment Group,See more »,",USA,Rafael Eisenman,,Black Sea 213 (1998) ,3.4,"Timothy Bottoms,Anthony Addabbo,Jacqueline Lovell,|,See full cast & crew,",134
737,,"Sacred Pools,Vinegar Films,See more »,",USA,Nick Davis,,1999 (1998) ,4.9,"Dan Futterman,Allyson Downey,Jennifer Garner,|,See full cast & crew,",233
738,"$1,600,000","Cineglobe Productions,Lineage Pictures,Misconceptions Productions,See more »,",USA,Ron Satlof,"$6,103,",Misconceptions (2008) ,4.8,"Elliot Swift,David Sutcliffe,A.J. Cook,|,See full cast & crew,",202
739,,"CinemArt,Infinity Prague,See more »,",Czech Republic,Tomas Hoffman,,Bezva zenská na krku (2016) ,6.3,"Petra Hrebícková,Ondrej Vetchý,Miroslav Táborský,|,See full cast & crew,",182
740,"€1,500,000","The Icelandic Filmcompany,Solar Films,Film and Music Entertainment (F&ME),See more »,","Iceland,Finland,UK",Róbert I. Douglas,"$1,302,",Strákarnir okkar (2005) ,5.1,"Björn Hlynur Haraldsson,Helgi Björnsson,Arnmundur Ernst Björnsson,|,See full cast & crew,",887
741,,"BV Entertainment Inc.,See more »,",USA,Kenneth J. Hall,,The Halfway House (2004) ,3.4,"Mary Woronov,Janet Tracy Keijser,Shawn Savage,|,See full cast & crew,",651
742,,"Canadian Film or Video Production Tax Credit (CPTC),Locomotion Films,Millennium Films,See more »,",Canada,Marc S. Grenier,,Dead Awake (2001) ,5.3,"Stephen Baldwin,Macha Grenon,Michael Ironside,|,See full cast & crew,",641
743,,"Team Angelica,See more »,",UK,Rikki Beadle Blair,,Fit (2010) ,6.3,"Duncan MacInnes,Ludvig Bonin,Sasha Frost,|,See full cast & crew,",435
744,,"Kerfaroc Films,See more »,",France,Benjamin Beaulieu,,La dernière fille (2002) ,5.2,"Jerome Besson,Clara Morgane,Jif,|,See full cast & crew,",41
745,"$400,000","Breidablick Film AB,Nimbus Film Productions,See more »,","Denmark,Sweden",Thomas Vinterberg,,En mand kommer hjem (2007) ,5.5,"Oliver Møller-Knauer,Ronja Mannov Olesen,Helene Reingaard Neumann,|,See full cast & crew,",741
746,"JPY 120,000,000","J.C. Staff,King Records,Movic,See more »,",Japan,Kunihiko Ikuhara,,Shôjo kakumei Utena: Adolescence mokushiroku (1999) ,7.2,"Tomoko Kawakami,Yuriko Fuchizaki,Leah Applebaum,|,See full cast & crew,","1,069"
747,,"ARP Sélection,StudioCanal,See more »,",France,Jean-Pierre Denis,"$225,390,",Les blessures assassines (2000) ,7.0,"Sylvie Testud,Julie-Marie Parmentier,Isabelle Renauld,|,See full cast & crew,","1,121"
748,,"Embrem Entertainment,Betur Films,Hot Summer Productions,See more »,",USA,Casper Andreas,,Slutty Summer (2004) ,5.1,"Casper Andreas,Christos Klapsis,Virginia Bryan,|,See full cast & crew,",820
749,,"X-Filme Creative Pool,Arte,Bayerischer Rundfunk (BR),See more »,",Germany,Dani Levy,"$86,553,",Alles auf Zucker! (2004) ,6.8,"Henry Hübchen,Hannelore Elsner,Udo Samel,|,See full cast & crew,","2,574"
750,,"Great Graffiti Films,Malvern Productions,Squarenone Cinema,See more »,",USA,Jesse Rosen,"$10,382,",The Art of Being Straight (2008) ,4.9,"Jesse Janzen,Tyler Jenich,Bryan McGowan,|,See full cast & crew,",597
751,,"Canadian Film or Video Production Tax Credit (CPTC),North American Pictures,See more »,","Czech Republic,Canada",Mike Rohl,,Hell Mountain (1998) ,3.8,"Nicole Nieth,Bentley Mitchum,Sarah Douglas,|,See full cast & crew,",197
752,,"Alliance Atlantis Communications,Danger Filmworks,Code Red Film,See more »,","Canada,USA",Lane Janger,"$23,374,",Just One Time (1999) ,6.3,"Lane Janger,Joelle Carter,Guillermo Díaz,|,See full cast & crew,",661
753,,"Furball,Viva Films,See more »,",Philippines,Lyle Sacris,,First Time (2003) ,6.9,"Jen Rosendahl,Gwen Garci,Myles Hernandez,|,See full cast & crew,",28
754,"ILS 110,000",,Israel,Veronica Kedar,,Joe + Belle (2011) ,4.9,"Sivan Levy,Veronica Kedar,Romi Aboulafia,|,See full cast & crew,",262
755,"CAD 4,300,000","Minds Eye Entertainment,Triptych Media,Wild Bunch,See more »,","Canada,France",Scott Smith,,Falling Angels (2003) ,6.8,"Miranda Richardson,Kristin Adams,Monté Gagné,|,See full cast & crew,",982
756,,"Hochschule für Film und Fernsehen 'Konrad Wolf',Mitteldeutscher Rundfunk (MDR),See more »,",Germany,Kirsi Liimatainen,,Sonja (2006) ,6.1,"Sabrina Kruschwitz,Julia Kaufmann,Nadja Engel,|,See full cast & crew,",289
757,,"Shri Vardan Pictures,See more »,",India,Shrey Srivastava,,Men Not Allowed (2006) ,4.0,"Payal Rohatgi,Tina Mazumdar,Nassar Abdulla,|,See full cast & crew,",28
758,"$1,000,000","ApolloProMovie & Co. 1. Filmproduktion,See more »,","Germany,USA",Brian Trenchard-Smith,"$884,",In Her Line of Fire (2006) ,4.1,"Mariel Hemingway,David Keith,David Millbern,|,See full cast & crew,",828
759,,"Les Films du Losange,StudioCanal,France 3 Cinéma,See more »,","France,Spain",Roger Planchon,,Lautrec (1998) ,6.7,"Régis Royer,Elsa Zylberstein,Anémone,|,See full cast & crew,",493
760,"€2,000,000","MMM Film Zimmermann & Co.,Fischer Film,See more »,","Germany,Austria",Angelina Maccarone,"$3,025,",Fremde Haut (2005) ,7.1,"Jasmin Tabatabai,Navid Navid,Mossadegh Hamid,|,See full cast & crew,",977
761,,"Dolly Hall Productions,Method Films,See more »,","USA,France",Sande Zeig,"$34,192,",The Girl (2000) ,4.7,"Claire Keim,Agathe de La Boulaye,Cyril Lecomte,|,See full cast & crew,",387
762,,"First Look International,Mata Productions Inc.,Tribeca Productions,See more »,",USA,Nisha Ganatra,,Chutney Popcorn (1999) ,5.8,"Nisha Ganatra,Jill Hennessy,Sakina Jaffrey,|,See full cast & crew,",963
763,,"Gloss Studio,See more »,",USA,,"$1,004,821,",Diana Vreeland: The Eye Has to Travel (2011) ,7.5,"Diana Vreeland,Richard Avedon,David Bailey,|,See full cast & crew,","1,261"
764,,"Sistas Inspiration,See more »,","Germany,Netherlands",Petra Clever,,Happy End?! (2014) ,4.8,"Sinha Melina Gierke,Verena Wüstkamp,Madlen Kaniuth,|,See full cast & crew,",161
765,,"Manufactura de Peliculas,Le Tiro Cine,See more »,","Chile,Argentina",Pepa San Martín,,Rara (2016) ,6.4,"Julia Lübbert,Emilia Ossandon,Mariana Loyola,|,See full cast & crew,",539
766,,"Bananeira Filmes,Fado Filmes,Rei Cine,See more »,","Brazil,Argentina",Anita Rocha da Silveira,,Mate-me por favor (2015) ,6.3,"Valentina Herszage,Dora Freind,Mariana Oliveira,|,See full cast & crew,",406
767,,"Thanksgiving Films,Burnett Entertainment,Dartford Productions,See more »,",USA,Craig E. Serling,,Jam (2006) ,5.9,"Christopher Amitrano,Elizabeth Bogush,Dan Byrd,|,See full cast & crew,",314
768,,"Chianti Pictures,See more »,",USA,,,La cucina (2007) ,4.8,"Christina Hendricks,Joaquim de Almeida,Leisha Hailey,|,See full cast & crew,",280
769,,"R&C Produzioni,RAI Radiotelevisione Italiana,Rai Cinema,See more »,",Italy,Francesca Muci,,L'amore è imperfetto (2012) ,4.6,"Anna Foglietta,Giulio Berruti,Camilla Filippi,|,See full cast & crew,",189
770,"$14,000,000","Marie-Amélie Productions,Action Côte d'Azur Production One,See more »,",France,Laure Charpentier,,Gigola (2010) ,5.1,"Lou Doillon,Eduardo Noriega,Marie Kremer,|,See full cast & crew,",363
771,,,USA,Ryan Balas,,Louise and her Lover (2011) ,6.0,"Julia Porter Howe,Morgan Powell,Dee Herlihy,|,See full cast & crew,",20
772,,"Toe Tag Pictures,See more »,",USA,,,Maskhead (2009) ,3.7,"Shelby Lyn Vogel,Danielle Inks,Daniel V. Klein,|,See full cast & crew,",216
773,"THB 15,000,000","Angel & Bear Productions,Filmoholics,See more »,",Thailand,Sranya Noithai,,She: Their Love Story (2012) ,6.0,"Penpak Sirikul,Kitchya Kaesuwan,Toroong Jarungkidanan,|,See full cast & crew,",69
774,,,USA,Kenny Griswold,,Net Worth (2001) ,5.9,"Todd Field,Craig Sheffer,Daniel Baldwin,|,See full cast & crew,",191
775,"€5,300,000","Fayolle et Sotela Films,EuropaCorp,Max Films Productions,See more »,","France,Canada",Sijie Dai,,Les filles du botaniste (2006) ,6.7,"Mylène Jampanoï,Xiaoran Li,Dong Fu Lin,|,See full cast & crew,","2,116"
776,,"Circle Films,Force of Nature Filmworks,See more »,",USA,,,BlackMale (2000) ,4.6,"Bokeem Woodbine,Roger Rees,Justin Pierce,|,See full cast & crew,",341
777,,"Surrender Cinema,Twilight Movies,See more »,",USA,Madison Monroe,,Zorrita: Passion's Avenger (2000) ,3.8,"Shauna O'Brien,Nancy O'Brien,Venessa Blair,|,See full cast & crew,",59
778,,"Cinequanon,Isle of Man Film Commission,Muse Productions,See more »,",UK,Roberta Hanley,,Woundings (1998) ,4.1,"Julie Cox,Sammi Davis,Emily Lloyd,|,See full cast & crew,",301
779,"$100,000","Mattioli Productions,See more »,",USA,A.J. Mattioli,,The Coffee Shop (2014) ,3.8,"Blanche Baker,Elissa Goldstein,Keith Collins,|,See full cast & crew,",68
780,,"Steakhaus Productions,NGB Productions,See more »,",USA,,"$1,802,",By Hook or by Crook (2001) ,5.7,"Silas Howard,Harry Dodge,Stanya Kahn,|,See full cast & crew,",248
781,,"Canal+,Centre National de la Cinématographie (CNC),Cofimage 11,See more »,",France,Lionel Delplanque,"$56,119,",Promenons-nous dans les bois (2000) ,4.2,"Marie Trintignant,Suzanne MacAleese,Maud Buquet,|,See full cast & crew,","2,248"
782,,"Early Risers Media Group,MVP Pictures,Yan,See more »,",Vietnam,Viet Max,,Love: Yeu (2015) ,7.4,"Phuong Bella,Pho Dac Biet,Huynh Dong,|,See full cast & crew,",55
783,,"Chi-Fou-Mi Productions,EuropaCorp,France 3 Cinéma,See more »,","France,Belgium",Nabil Ben Yadir,,La marche (2013) ,5.9,"Olivier Gourmet,Tewfik Jallab,Vincent Rottiers,|,See full cast & crew,",318
784,,"Tai Entertainment,See more »,",Thailand,Yongyoot Thongkongtoon,"$110,825,",Satree lek (2000) ,6.8,"Jesdaporn Pholdee,Sahaphap Tor,Ekachai Buranapanit,|,See full cast & crew,","1,236"
785,,"Tunnel Vision Productions,See more »,",USA,Lauren Himmelvo,,Treading Water (2001) ,5.6,"Angie Redman,Nina Landey,Annette Miller,|,See full cast & crew,",393
786,,"Zula/Pearl Films Inc.,Independent Television Service (ITVS),P.O.V./American Documentary,See more »,",USA,,,Flag Wars (2003) ,7.0,"Nina Masseria,Floyd Goode,Josephine Goode,|,See full cast & crew,",194
787,,"Image Organization,See more »,",USA,Robert Malenfant,,The Night Caller (1998) ,5.3,"Shanna Reed,Tracy Nelson,Mary Crosby,|,See full cast & crew,",342
788,,"Savage Roses Productions,See more »,",USA,James Adam Tucker,,Aunt Rose (2005) ,4.2,"Joshua Nelson,Elizabeth Cooke,Velocity Chyaldd,|,See full cast & crew,",309
789,,"Goldfish Films,See more »,",Ireland,Liz Gill,,Goldfish Memory (2003) ,6.4,"Sean Campion,Flora Montgomery,Stuart Graham,|,See full cast & crew,","1,615"
790,,"Aisha Media,See more »,",USA,David Lassman,,No Strings Attached (2009) ,7.2,"Amy Cluff,Gerrad Bohl,Christopher Sugarman,|,See full cast & crew,",29
791,"$2,000,000","Smithfield Street Productions,Autumn Entertainment,Autumn Film Company,See more »,",USA,Matt Flynn,,Hack! (2007) ,4.0,"Danica McKellar,Jay Kenneth Johnson,Juliet Landau,|,See full cast & crew,","1,991"
792,,"MoDean Pictures,See more »,",USA,Jaymes Thompson,,The Gay Bed and Breakfast of Terror (2007) ,3.6,"Mari Marks,Michael Soldier,Georgia Jean,|,See full cast & crew,",378
793,"€7,000,000","Max Films Productions,EuropaCorp,See more »,","Canada,France",Manon Briand,,La turbulence des fluides (2002) ,6.7,"Pascale Bussières,Julie Gayet,Jean-Nicolas Verreault,|,See full cast & crew,",929
794,,,USA,Madeleine Olnek,,Codependent Lesbian Space Alien Seeks Same (2011) ,6.1,"Lisa Haas,Susan Ziegler,Jackie Monahan,|,See full cast & crew,",255
795,,"MRG Entertainment,See more »,",USA,Madison Monroe,,Dangerous Pleasures (2001) ,4.7,"Jacy Andrews,Collin Bernsen,Burke Morgan,|,See full cast & crew,",54
796,,"Hubert Bals Fund,Lita Stantic Producciones,Nylon Cine,See more »,","Argentina,Netherlands",Diego Lerman,,Tan de repente (2002) ,6.4,"Tatiana Saphir,Carla Crespo,Veronica Hassan,|,See full cast & crew,",778
797,,"Primary Process Productions,See more »,",USA,Ron Brown,,A Perfect Fit (2005) ,5.3,"Adrian Grenier,Polly Draper,Leila Arcieri,|,See full cast & crew,",390
798,,"Channel Four Films,Cinemax,HBO Theatrical Documentary,See more »,","UK,Germany,USA",,"$65,719,",Paragraph 175 (2000) ,7.9,"Rupert Everett,Klaus Müller,Karl Gorath,|,See full cast & crew,","1,727"
799,,"Achtfeld,Next Film,See more »,",Germany,Zoltan Paul,,Frauensee (2012) ,5.5,"Nele Rosetz,Therese Hämer,Lea Draeger,|,See full cast & crew,",195
800,,"Cinema One Originals,I.O.U. One Productions,See more »,",Philippines,Connie Macatuno,,Rome & Juliet (2006) ,6.4,"Andrea Del Rosario,Mylene Dizon,Rafael Rosell,|,See full cast & crew,",236
801,"$700,000",,USA,Pete Jones,,Outing Riley (2004) ,6.4,"Pete Jones,Nathan Fillion,Stoney Westmoreland,|,See full cast & crew,",665
802,,,Canada,,,Portrait of a Serial Monogamist (2015) ,4.5,"Grace Lynn Kung,Robin Duke,Carolyn Taylor,|,See full cast & crew,",134
803,,,UK,Duncan Roy,,AKA (2002) ,5.6,"Matthew Leitch,Diana Quick,George Asprey,|,See full cast & crew,","1,129"
804,,,USA,Stu Maddux,,Gen Silent (2011) ,8.2,,52
805,"$500,000","Bloodlife Films,Two Door Four Door Pictures,See more »,",Canada,,,Scarce (2008) ,4.1,"Steve Warren,Gary Fischer,Chris Warrilow,|,See full cast & crew,",907
806,,"Angel Ark Productions,Little Engine Productions,Toe-Pick Pictures,See more »,",USA,Karl Slovin,,On Edge (2001) ,5.0,"Jason Alexander,Tai Babilonia,Andrew Bilgore,|,See full cast & crew,",235
807,"$5,000",,USA,Guillaume Campanacci,,Devils in Disguise (2014) ,5.7,"Pilar Arias,Tad Brown,Guillaume Campanacci,|,See full cast & crew,",19
808,,"Gemini Films,Arte France Cinéma,Canal+,See more »,","France,Portugal",Catherine Corsini,,La nouvelle Ève (1999) ,6.1,"Karin Viard,Pierre-Loup Rajot,Catherine Frot,|,See full cast & crew,",499
809,,"North Country Pictures Ltd.,See more »,",UK,Steven Woodcock,,Between Two Women (2004) ,6.1,"Barbara Marten,Andrina Carroll,Andrew Dunn,|,See full cast & crew,",345
810,,"Bless Bless Productions,SundanceTV,Graphic Pictures,See more »,",USA,,,Edie & Thea: A Very Long Engagement (2009) ,7.9,"Thea Spyer,Edea Windsor,",343
811,,,USA,Angela Tucker,,(A)sexual (2011) ,6.1,"Aliza,Antonia,Barb,|,See full cast & crew,",671
812,,"Madcap Entertainment,See more »,",USA,Charlie Loventhal,,Meet Market (2004) ,3.5,"Krista Allen,Elizabeth Berkley,Susan Egan,|,See full cast & crew,",521
813,"$2,000,000","Arts Council of England,Canal+,Channel Four Films,See more »,","UK,France,USA",Chris Menges,,The Lost Son (1999) ,6.6,"Daniel Auteuil,Nastassja Kinski,Katrin Cartlidge,|,See full cast & crew,","1,312"
814,,"Code Red Pictures,Artemis Media Ventures,Belle Max Productions,See more »,",USA,,"$66,300,",After Tiller (2013) ,7.5,"George Tiller,Warren Hern,Leroy Carhart,|,See full cast & crew,",958
815,"$200,000","Gold Lion Films,T-Street Productions,See more »,",USA,Thomas L. Phillips,,Sanctuary; Quite a Conundrum (2012) ,5.4,"Sasha Ramos,Erin Cline,Emily Rogers,|,See full cast & crew,",148
816,,"Goff-Kellam Productions,See more »,",USA,Lee Friedlander,,Out at the Wedding (2007) ,6.2,"Jerry Banks,Jill Bennett,Jamie Blake,|,See full cast & crew,",724
817,,"Cinerenta Medienbeteiligungs KG,Cinerock KG,Dream Entertainment,See more »,","USA,Germany",Shane Edelman,,According to Spencer (2001) ,4.5,"Jesse Bradford,Mia Kirshner,David Krumholtz,|,See full cast & crew,",637
818,,"Tenure Track Productions,See more »,",USA,Marc Moody,,Almost Normal (2005) ,5.5,"J. Andrew Keitch,Joan Lauckner,Tim Hammer,|,See full cast & crew,","1,089"
819,,"J&J Jakubisko Film,See more »,",Czech Republic,Juraj Jakubisko,,Post coitum (2004) ,4.2,"Franco Nero,Eva Elsnerová,Richard Krajco,|,See full cast & crew,",346
820,,,USA,,"$15,461,",Wish Me Away (2011) ,7.5,"Chely Wright,Jennifer Archer,Howard Bragman,|,See full cast & crew,",324
821,"€3,300,000","Conaculta,Fondo Ibermedia,Fondo para la Producción Cinematográfica de Calidad (FOPROCINE),See more »,","Mexico,Spain",Antonio Serrano,"$267,495,",La hija del caníbal (2003) ,6.2,"Cecilia Roth,Carlos Álvarez-Nóvoa,Kuno Becker,|,See full cast & crew,",973
822,,,India,Ligy J. Pullappally,,Sancharram (2004) ,7.0,"Suhasini V. Nair,Shrruiti Menon,K.P.A.C. Lalitha,|,See full cast & crew,",299
823,,"Ace Deuce Entertainment,Makotoya,Shaiker Co.,See more »,",Japan,Kôta Yoshida,,Yuriko no aroma (2010) ,5.9,"Noriko Eguchi,Noriko Kijima,Miyavi Matsunoi,|,See full cast & crew,",120
824,,"Living Waters Productions,See more »,",USA,Eddie Roman,,Audacity (2015) ,4.4,"Travis Owens,Molly Ritter,Ben Price,|,See full cast & crew,","4,195"
825,"$150,000","Mattioli Productions,See more »,",USA,Drew Bolton,,Killer Unicorn (2018) ,0,"Alejandro La Rosa,Dennis Budesheim,Markus Kelle,|,See full cast & crew,",0
826,"CAD 1,180,000","MJC Entertainment,See more »,",Canada,Stephen Scott,,Silent But Deadly (2011) ,3.2,"Jason Mewes,William Sadler,Jordan Prentice,|,See full cast & crew,",406
827,,"Cranium Entertainment,Hear No Evil Films,Kelli Lerner Casting,See more »,",USA,Ash Christian,"$10,798,",Fat Girls (2006) ,5.2,"Ash Christian,Jonathan Caouette,Evan Miller,|,See full cast & crew,",534
828,"$10,000","Lion's Den Films,See more »,",USA,,"$29,058",The Trouble with Barry (2013) ,6.3,"Peter Stickles,Rena Riffel,Eric Dean,|,See full cast & crew,",61
829,,"Antena 3 Televisión,Lolafilms,Vía Digital,See more »,",Spain,Susan Seidelman,,Gaudi Afternoon (2001) ,6.1,"Judy Davis,Marcia Gay Harden,Lili Taylor,|,See full cast & crew,","1,044"
830,"£300,000","Rice Is Nice Productions,See more »,","UK,Hong Kong",Ray Yeung,"$13,399,",Cut Sleeve Boys (2006) ,6.2,"Chowee Leow,Steven Lim,Gareth Rhys Davis,|,See full cast & crew,",424
831,,"Django Film,J Storm,Kôdansha,See more »,",Japan,Tomoyuki Takimoto,,Nô Otoko (2013) ,6.6,"Yôsuke Eguchi,Yasuko Matsuyuki,Shôta Sometani,|,See full cast & crew,",817
832,,"Here! TV,See more »,",USA,Arthur Allan Seidelman,,The Awakening of Spring (2008) ,5.6,"Yuval David,John Aniston,Gary Bisig,|,See full cast & crew,",97
833,,"David J. Woods Entertainment,Free Spirit Films,Super Channel,See more »,",Canada,Alison Reid,,The Baby Formula (2008) ,4.6,"Angela Vint,Megan Fahlenbock,Rosemary Dunsmore,|,See full cast & crew,",265
834,,"3rd Vision Films,See more »,",Taiwan,Zero Chou,,Piao lang qing chun (2008) ,6.6,"Serena Fang,Chih-Ying Pai,Yi-lan Chao,|,See full cast & crew,",311
835,,"Kadokawa,See more »,",Japan,Mari Asato,,Gekijô-ban: Zero (2014) ,5.8,"Aoi Morikawa,Ayami Nakajô,Kôdai Asaka,|,See full cast & crew,",368
