,budget,company,country,director,gross,name,rate,star,voter
358,,"Australian Film Finance Corporation (AFFC),Great Scott Productions Pty. Ltd.,Film Victoria,See more »,",Australia,Ana Kokkinos,"$378,667,",Head On (1998) ,6.4,"Alex Dimitriades,Elena Mandalis,Damien Fotiou,|,See full cast & crew,","3,697"
359,,"Jungle Book Entertainment,ONE TWO Films,Protein Entertainment,See more »,","India,Germany",Pan Nalin,,Angry Indian Goddesses (2015) ,6.9,"Sarah-Jane Dias,Rajshri Deshpande,Sandhya Mridul,|,See full cast & crew,","2,309"
360,,"Bandeira Entertainment,Flynn/Simchowitz,Key Entertainment,See more »,",USA,Sebastian Gutierrez,,Judas Kiss (1998) ,6.4,"Alan Rickman,Emma Thompson,Carla Gugino,|,See full cast & crew,","3,296"
361,,"Ariztical Entertainment,Automat Pictures,EOSS Productions,See more »,",USA,Phillip J. Bartell,,Eating Out 2: Sloppy Seconds (2006) ,6.3,"Jim Verraros,Emily Brooke Hands,Rebekah Kochan,|,See full cast & crew,","3,381"
362,,"4k Films,Wanda Visión S.A.,Cuatro Cabezas,See more »,","Argentina,France,Spain,Japan",Lucrecia Martel,"$103,215,",La Ciénaga (2001) ,7.1,"Mercedes Morán,Graciela Borges,Martín Adjemián,|,See full cast & crew,","4,396"
363,"$6,000,000","The Works International,Constance Media,Firefly,See more »,",UK,Duncan Ward,"$1,776,",Boogie Woogie (2009) ,5.2,"Gillian Anderson,Alan Cumming,Heather Graham,|,See full cast & crew,","3,312"
364,,"Rather Good Films,See more »,",UK,Chanya Button,,Burn Burn Burn (2015) ,7.0,"Laura Carmichael,Joe Dempsie,Hannah Arterton,|,See full cast & crew,","1,191"
365,,"Aspire Productions,Really Good Stuff,See more »,",USA,Suzanne Guacci,,Stuff (2015) ,4.3,"Yvonne Jung,Karen Sillas,Thunderbird Dinwiddie,|,See full cast & crew,",200
366,,"Zik Zak Kvikmyndir,See more »,","Iceland,Sweden,Belgium",Isold Uggadottir,,Andið eðlilega (2018) ,7.1,"Kristín Þóra Haraldsdóttir,Babetida Sadjo,Patrik Nökkvi Pétursson,|,See full cast & crew,",243
367,,"Alma Films,Flach Film,Centre National de la Cinématographie (CNC),See more »,",France,Christophe Honoré,"$103,970,",Les chansons d'amour (2007) ,7.2,"Ludivine Sagnier,Louis Garrel,Clotilde Hesme,|,See full cast & crew,","8,242"
368,,"Filmakademie Baden-Württemberg,Das Kleine Fernsehspiel (ZDF),See more »,",Germany,Anne Zohra Berrached,,Zwei Mütter (2013) ,5.1,"Karina Plachetka,Sabine Wolf,Florian Weber,|,See full cast & crew,",432
369,"$1,000,000","Brillstein-Grey Entertainment,Mindfire Entertainment,See more »,",USA,Craig Mazin,"$12,996,",The Specials (2000) ,5.9,"Rob Lowe,Thomas Haden Church,Paget Brewster,|,See full cast & crew,","2,075"
370,"$4,000,000","Screen Gems,Red Mullet Productions,See more »,",USA,Mike Figgis,"$945,041,",Timecode (2000) ,6.2,"Jeanne Tripplehorn,Stellan Skarsgård,Salma Hayek,|,See full cast & crew,","6,187"
371,,"Gamechanger Films,Leeden Media,Lakeview Productions,See more »,",USA,Jamie Babbit,,Addicted to Fresno (2015) ,5.4,"Judy Greer,Natasha Lyonne,Malcolm Barrett,|,See full cast & crew,","1,913"
372,,"Artomas Communications,Metro Communications,Tu Vas Voir Productions,See more »,","France,Israel",Avi Nesher,"$122,094,",Ha-Sodot (2007) ,7.0,"Fanny Ardant,Ania Bukstein,Michal Shtamler,|,See full cast & crew,","1,771"
373,"$5,000,000","Big Beach Films,See more »,",USA,Max Landis,,Me Him Her (2015) ,5.4,"Dustin Milligan,Luke Bracey,Emily Meade,|,See full cast & crew,","1,328"
374,,"Newcity's Chicago Film Project,Full Spectrum Features,Black Apple Media,See more »,",USA,Jennifer Reeder,"$31,080,",Signature Move (2017) ,5.8,"Fawzia Mirza,Shabana Azmi,Sari Sanchez,|,See full cast & crew,",305
375,,"Arenafilm,Asmik Ace Entertainment,Canal+,See more »,","Australia,Canada,France,Italy,Japan",Samantha Lang,"$45,826,",The Monkey's Mask (2000) ,5.1,"Susie Porter,Kelly McGillis,Abbie Cornish,|,See full cast & crew,","1,395"
376,,"Daly-Harris Productions,Davis Entertainment Classics,Sordid Lives LLC,See more »,",USA,Del Shores,"$1,111,273",Sordid Lives (2000) ,6.8,"Delta Burke,Bonnie Bedelia,Olivia Newton-John,|,See full cast & crew,","2,622"
377,,"Big Easy Pictures,Side Tracked Pictures,See more »,",USA,Donna Robinson,,The Adventures of Beatle (2015) ,5.7,"Ever Carradine,Michele Hicks,Jeffrey Dean Morgan,|,See full cast & crew,","2,492"
378,,"Goonworks Films,See more »,",Canada,Geoff Redknap,,The Unseen (2016) ,5.6,"Aden Young,Camille Sullivan,Julia Sarah Stone,|,See full cast & crew,",294
379,"$400,000","ADIUVO Productions,Blackout,Clayface Pictures,See more »,",USA,Nick Basile,,Dark (2015) ,4.8,"Whitney Able,Alexandra Breckenridge,Michael Eklund,|,See full cast & crew,","1,787"
